label,"transform  {A:7.320508075688773, B:12.679491924311227}",angle,transform[0].x,transform[0].y,transform[1].x,transform[1].y,transform[2].x,transform[2].y
"Psi","0+0i",0,1.0,0.0,0.0,1.0,0.0,0.0
"Delta","((-1.5)*A)-((0.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-10.98076211353316,-6.339745962155613
"Psi","((-1.5)*A + (-1.0)*B*√3)+((0.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-32.94228634059948,6.339745962155613
"Phi","((-1.5)*A + (-1.0)*B*√3)-((0.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-32.94228634059948,-6.339745962155613
"Sigma","((-1.0)*B*√3)-((1.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,-21.961524227066317,-12.679491924311225
"Psi","((-1.5)*A + (-0.5)*B*√3)-((1.5)*B + (1.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,-21.96152422706632,-38.03847577293368
"Phi","((-0.5)*B*√3)-((1.5)*B + (1.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,-10.980762113533158,-31.698729810778065
"Gamma1","((1.5)*A + (1.0)*B*√3)-((1.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,32.94228634059948,-19.01923788646684
"Gamma2","((0.5)*B*√3)-((1.5)*B)*i",150,-0.8660254037844386,0.5,-0.5,-0.8660254037844386,10.980762113533158,-19.01923788646684
"Xi","((6.0)*A + (2.5)*B*√3)-((-1.5)*B + (2.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,98.82685902179844,-6.339745962155611
"Delta","((4.5)*A + (2.5)*B*√3)+((1.5)*B + (-1.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,87.84609690826528,0.0
"Xi","((6.0)*A + (2.0)*B*√3)+((3.0)*B + (-1.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,87.84609690826528,25.358983848622454
"Phi","((4.5)*A + (2.0)*B*√3)+((3.0)*B + (-1.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,76.86533479473212,19.01923788646684
"Sigma","((4.5)*A + (2.0)*B*√3)+((3.0)*B + (-2.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,76.86533479473212,6.3397459621556145
"Pi","((3.0)*A + (1.5)*B*√3)-((-1.5)*B + (2.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,54.90381056766579,-6.339745962155611
"Phi","((4.5)*A + (1.5)*B*√3)-((-1.5)*B + (2.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,65.88457268119896,-12.679491924311225
"Gamma1","((4.5)*A + (3.0)*B*√3)-((3.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,98.82685902179843,-44.37822173508929
"Gamma2","((6.0)*A + (2.0)*B*√3)-((2.0)*A*√3)*i",90,0.0,1.0,-1.0,0.0,87.84609690826528,-25.35898384862245
"Psi","((10.5)*A + (2.0)*B*√3)+((6.0)*B + (0.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,120.78838324886476,82.41669750802298
"Delta","((9.0)*A + (2.0)*B*√3)+((6.0)*B + (1.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,109.8076211353316,88.75644347017858
"Psi","((10.5)*A + (1.5)*B*√3)+((7.5)*B + (1.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,109.8076211353316,114.11542731880104
"Phi","((9.0)*A + (1.5)*B*√3)+((7.5)*B + (1.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,98.82685902179844,107.77568135664542
"Sigma","((9.0)*A + (1.5)*B*√3)+((7.5)*B)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,98.82685902179844,95.0961894323342
"Psi","((7.5)*A + (1.0)*B*√3)+((6.0)*B + (0.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,76.8653347947321,82.41669750802298
"Phi","((9.0)*A + (1.0)*B*√3)+((6.0)*B)*i",180,-1.0,0.0,0.0,-1.0,87.84609690826528,76.07695154586736
"Gamma1","((9.0)*A + (2.5)*B*√3)+((4.5)*B + (-1.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,120.78838324886476,44.3782217350893
"Gamma2","((10.5)*A + (1.5)*B*√3)+((4.5)*B + (0.5)*A*√3)*i",90,0.0,1.0,-1.0,0.0,109.8076211353316,63.39745962155613
"Psi","((10.5)*A + (4.0)*B*√3)-((-3.0)*B + (3.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,164.7114317029974,-6.339745962155611
